reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,01,pmf,decrease,0.4225774225774226
2026-02-21,wk flu hosp rate change,0,2026-02-21,01,pmf,increase,0.18081918081918083
2026-02-21,wk flu hosp rate change,0,2026-02-21,01,pmf,large_decrease,0.25374625374625376
2026-02-21,wk flu hosp rate change,0,2026-02-21,01,pmf,large_increase,0.013986013986013988
2026-02-21,wk flu hosp rate change,0,2026-02-21,01,pmf,stable,0.1288711288711289
2026-02-21,wk flu hosp rate change,0,2026-02-21,02,pmf,decrease,0.313
2026-02-21,wk flu hosp rate change,0,2026-02-21,02,pmf,increase,0.171
2026-02-21,wk flu hosp rate change,0,2026-02-21,02,pmf,large_decrease,0.003
2026-02-21,wk flu hosp rate change,0,2026-02-21,02,pmf,large_increase,0.005
2026-02-21,wk flu hosp rate change,0,2026-02-21,02,pmf,stable,0.508
2026-02-21,wk flu hosp rate change,0,2026-02-21,04,pmf,decrease,0.483
2026-02-21,wk flu hosp rate change,0,2026-02-21,04,pmf,increase,0.228
2026-02-21,wk flu hosp rate change,0,2026-02-21,04,pmf,large_decrease,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,04,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,04,pmf,stable,0.285
2026-02-21,wk flu hosp rate change,0,2026-02-21,05,pmf,decrease,0.578
2026-02-21,wk flu hosp rate change,0,2026-02-21,05,pmf,increase,0.181
2026-02-21,wk flu hosp rate change,0,2026-02-21,05,pmf,large_decrease,0.134
2026-02-21,wk flu hosp rate change,0,2026-02-21,05,pmf,large_increase,0.008
2026-02-21,wk flu hosp rate change,0,2026-02-21,05,pmf,stable,0.09900000000000012
2026-02-21,wk flu hosp rate change,0,2026-02-21,06,pmf,decrease,0.315
2026-02-21,wk flu hosp rate change,0,2026-02-21,06,pmf,increase,0.235
2026-02-21,wk flu hosp rate change,0,2026-02-21,06,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,06,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,06,pmf,stable,0.4479999999999999
2026-02-21,wk flu hosp rate change,0,2026-02-21,08,pmf,decrease,0.342
2026-02-21,wk flu hosp rate change,0,2026-02-21,08,pmf,increase,0.108
2026-02-21,wk flu hosp rate change,0,2026-02-21,08,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,08,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,08,pmf,stable,0.548
2026-02-21,wk flu hosp rate change,0,2026-02-21,09,pmf,decrease,0.74
2026-02-21,wk flu hosp rate change,0,2026-02-21,09,pmf,increase,0.06
2026-02-21,wk flu hosp rate change,0,2026-02-21,09,pmf,large_decrease,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,09,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,09,pmf,stable,0.196
2026-02-21,wk flu hosp rate change,0,2026-02-21,10,pmf,decrease,0.423
2026-02-21,wk flu hosp rate change,0,2026-02-21,10,pmf,increase,0.047
2026-02-21,wk flu hosp rate change,0,2026-02-21,10,pmf,large_decrease,0.039
2026-02-21,wk flu hosp rate change,0,2026-02-21,10,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,10,pmf,stable,0.49
2026-02-21,wk flu hosp rate change,0,2026-02-21,11,pmf,decrease,0.001
