"location","target","target_end_date","forecast_date","model","location_name","median","lower_50","upper_50","lower_95","upper_95","observed"
"US","0 wk inc flu hosp",2024-11-23,2024-11-23,"FluSight-ensemble","National","3697",3038,4269,2331,5448,3092
"US","1 wk inc flu hosp",2024-11-30,2024-11-23,"FluSight-ensemble","National","4571",3541,6005,2239,7276,4277
"US","2 wk inc flu hosp",2024-12-07,2024-11-23,"FluSight-ensemble","National","5367",3880,6539,2052,9348,6288
"US","3 wk inc flu hosp",2024-12-14,2024-11-23,"FluSight-ensemble","National","5702",4495,7210,2027,12818,9166
"US","0 wk inc flu hosp",2024-11-30,2024-11-30,"FluSight-ensemble","National","3947",3576,4579,2701,6252,4277
"US","1 wk inc flu hosp",2024-12-07,2024-11-30,"FluSight-ensemble","National","4727",3916,5796,2042,8353,6288
"US","2 wk inc flu hosp",2024-12-14,2024-11-30,"FluSight-ensemble","National","5415",4031,6929,2403,10724,9166
"US","3 wk inc flu hosp",2024-12-21,2024-11-30,"FluSight-ensemble","National","6248",4224,8271,2323,13970,15429
"US","0 wk inc flu hosp",2024-12-07,2024-12-07,"FluSight-ensemble","National","4780",4150,5457,2819,7166,6288
"US","1 wk inc flu hosp",2024-12-14,2024-12-07,"FluSight-ensemble","National","5923",4784,7103,3180,9517,9166
"US","2 wk inc flu hosp",2024-12-21,2024-12-07,"FluSight-ensemble","National","7080",5678,8929,3311,13071,15429
"US","3 wk inc flu hosp",2024-12-28,2024-12-07,"FluSight-ensemble","National","8015",6026,9807,3126,15535,27682
"US","0 wk inc flu hosp",2024-12-14,2024-12-14,"FluSight-ensemble","National","6907",5822,7565,4344,9169,9166
"US","1 wk inc flu hosp",2024-12-21,2024-12-14,"FluSight-ensemble","National","8635",6939,9742,4632,12572,15429
"US","2 wk inc flu hosp",2024-12-28,2024-12-14,"FluSight-ensemble","National","9441",7501,11521,5037,15733,27682
"US","3 wk inc flu hosp",2025-01-04,2024-12-14,"FluSight-ensemble","National","9659",7623,12284,4988,19001,38691
"US","0 wk inc flu hosp",2024-12-21,2024-12-21,"FluSight-ensemble","National","10669",9068,12444,6666,15393,15429
"US","1 wk inc flu hosp",2024-12-28,2024-12-21,"FluSight-ensemble","National","12872",10479,14900,7297,19756,27682
"US","2 wk inc flu hosp",2025-01-04,2024-12-21,"FluSight-ensemble","National","13495",10852,16349,6855,22069,38691
"US","3 wk inc flu hosp",2025-01-11,2024-12-21,"FluSight-ensemble","National","12812",10232,16766,6572,23460,30751
"US","0 wk inc flu hosp",2024-12-28,2024-12-28,"FluSight-ensemble","National","15280",13338,16920,11122,21140,27682
"US","1 wk inc flu hosp",2025-01-04,2024-12-28,"FluSight-ensemble","National","16880",14503,19510,10243,25958,38691
"US","2 wk inc flu hosp",2025-01-11,2024-12-28,"FluSight-ensemble","National","17368",14232,20225,9276,30174,30751
"US","3 wk inc flu hosp",2025-01-18,2024-12-28,"FluSight-ensemble","National","16116",12990,20290,8409,29475,32985
"US","0 wk inc flu hosp",2025-01-04,2025-01-04,"FluSight-ensemble","National","25891",22477,28513,17196,36169,38691
"US","1 wk inc flu hosp",2025-01-11,2025-01-04,"FluSight-ensemble","National","26451",22761,31409,16729,40846,30751
"US","2 wk inc flu hosp",2025-01-18,2025-01-04,"FluSight-ensemble","National","24083",19270,29355,13372,42595,32985
"US","3 wk inc flu hosp",2025-01-25,2025-01-04,"FluSight-ensemble","National","23735",18711,29913,11087,42719,40605
"US","0 wk inc flu hosp",2025-01-11,2025-01-11,"FluSight-ensemble","National","39234",33759,43174,25945,50770,30751
"US","1 wk inc flu hosp",2025-01-18,2025-01-11,"FluSight-ensemble","National","36775",29572,43254,19701,55465,32985
"US","2 wk inc flu hosp",2025-01-25,2025-01-11,"FluSight-ensemble","National","33491",26317,38317,17784,49994,40605
"US","3 wk inc flu hosp",2025-02-01,2025-01-11,"FluSight-ensemble","National","27136",20891,35685,12652,47556,51211
"US","0 wk inc flu hosp",2025-01-18,2025-01-18,"FluSight-ensemble","National","26890",23314,31508,16165,39228,32985
"US","1 wk inc flu hosp",2025-01-25,2025-01-18,"FluSight-ensemble","National","25026",20110,29450,12351,38444,40605
"US","2 wk inc flu hosp",2025-02-01,2025-01-18,"FluSight-ensemble","National","21157",16962,27022,9163,37619,51211
"US","3 wk inc flu hosp",2025-02-08,2025-01-18,"FluSight-ensemble","National","19994",14330,24589,8498,37089,54274
"US","0 wk inc flu hosp",2025-02-01,2025-02-01,"FluSight-ensemble","National","34239",28995,37851,20802,46922,51211
"US","1 wk inc flu hosp",2025-02-08,2025-02-01,"FluSight-ensemble","National","31273",25191,37577,16397,50821,54274
"US","2 wk inc flu hosp",2025-02-15,2025-02-01,"FluSight-ensemble","National","29131",21674,36438,13069,53651,46329
"US","3 wk inc flu hosp",2025-02-22,2025-02-01,"FluSight-ensemble","National","26339",18101,34848,10841,51273,37871
"US","0 wk inc flu hosp",2025-02-15,2025-02-15,"FluSight-ensemble","National","45052",38273,51097,30423,60355,46329
"US","1 wk inc flu hosp",2025-02-22,2025-02-15,"FluSight-ensemble","National","40726",32448,48077,24458,63101,37871
"US","2 wk inc flu hosp",2025-03-01,2025-02-15,"FluSight-ensemble","National","37235",27006,42977,19599,63413,30811
"US","3 wk inc flu hosp",2025-03-08,2025-02-15,"FluSight-ensemble","National","34093",25110,39141,15825,60260,23986
"US","0 wk inc flu hosp",2025-02-08,2025-02-08,"FluSight-ensemble","National","44765",37665,51238,27922,62309,54274
